CustomerID,InvoiceDate,Quantity,UnitPrice,TotalAmount,Country,ProductCategory
C0700,2023-02-12 00:00:00,3,33.65,100.95,France,Beauty
C1771,2022-07-29 00:00:00,2,14.23,28.46,UK,Beauty
C0966,2023-04-19 00:00:00,2,842.73,1685.46,Germany,Electronics
C1258,2022-12-27 00:00:00,1,534.34,534.34,UK,Sports
C1306,2023-06-29 00:00:00,1,70.15,70.15,Italy,Clothing
C0169,2022-08-25 00:00:00,1,598.37,598.37,Germany,Sports
C0179,2022-07-31 00:00:00,1,410.51,410.51,,Electronics
C0001,2022-05-04 00:00:00,5,57.24,286.22,Spain,Clothing
C1014,2022-10-14 00:00:00,1,178.27,178.27,UK,Clothing
C0480,2022-11-30 00:00:00,1,26.52,26.52,,Books
C1515,2023-02-28 00:00:00,1,48.35,48.35,France,Books
C1327,2022-05-30 00:00:00,1,44.89,44.89,,Home & Garden
C1059,2022-12-01 00:00:00,1,61.89,61.89,France,Beauty
C0009,2022-12-03 00:00:00,1,458.47,458.47,UK,Sports
C0849,2023-11-10 00:00:00,1,462.85,400.16,France,Sports
C0466,2023-11-29 00:00:00,3,80.41,241.23,Germany,Clothing
C0480,2022-07-02 00:00:00,3,41.86,125.58,,Books
C1573,2023-10-29 00:00:00,1,175.96,175.96,UK,Home & Garden
C1551,2022-06-04 00:00:00,1,11.05,11.05,UK,Beauty
C1077,2022-03-24 00:00:00,1,225.81,225.81,Spain,Home & Garden
C0960,2022-12-29 00:00:00,1,78.48,78.48,UK,Clothing
C1018,2022-07-23 00:00:00,1,123.45,123.45,,Clothing
C0814,2022-11-12 00:00:00,1,193.15,193.15,Germany,Home & Garden
C0428,2022-04-07 00:00:00,1,689.29,513.33,UK,Electronics
C0405,2022-02-25 00:00:00,1,14.54,14.54,France,Books
C1358,2022-03-06 00:00:00,1,41.4,32.46,Spain,Home & Garden
C0763,2022-04-11 00:00:00,1,264.78,264.78,Italy,Sports
C1059,2023-01-12 00:00:00,1,856.78,856.78,France,Electronics
C0175,2022-02-13 00:00:00,1,12.96,12.96,Italy,Beauty
C0770,2023-03-20 00:00:00,1,174.44,174.44,Italy,Sports
C1283,2023-05-05 00:00:00,2,223.31,446.62,Netherlands,Electronics
C1449,2023-10-25 00:00:00,1,89.05,89.05,UK,Sports
C1333,2023-09-01 00:00:00,1,8.08,6.2,Italy,Books
C1831,2022-12-17 00:00:00,1,185.37,185.37,,Sports
C1350,2022-12-08 00:00:00,1,411.37,411.37,,Electronics
C0073,2023-05-27 00:00:00,1,35.86,35.86,UK,Books
C0953,2022-12-31 00:00:00,1,25.17,25.17,Germany,Books
C1061,2023-02-04 00:00:00,1,312.02,312.02,UK,Sports
C0570,2022-09-08 00:00:00,3,4.72,14.15,Netherlands,Books
C0443,2022-08-09 00:00:00,1,6.81,6.81,Netherlands,Books
C1636,2023-03-15 00:00:00,1,255.28,204.85,Germany,Home & Garden
C0193,2023-06-15 00:00:00,1,196.12,196.12,,Electronics
C1000,2022-05-22 00:00:00,1,8.23,8.23,UK,Beauty
C0023,2023-07-21 00:00:00,1,234.96,234.96,,Electronics
C1805,2022-07-10 00:00:00,1,823.6,823.6,UK,Electronics
C0880,2022-08-04 00:00:00,1,30.36,30.36,UK,Sports
C0799,2023-07-14 00:00:00,1,18.82,18.82,UK,Books
C1126,2022-04-16 00:00:00,1,176.47,176.47,France,Home & Garden
C1846,2023-04-01 00:00:00,1,120.62,120.62,UK,Sports
C0859,2022-08-31 00:00:00,1,111.5,111.5,UK,Clothing
C1032,2022-11-09 00:00:00,2,699.31,1398.62,UK,Electronics
C0726,2022-06-07 00:00:00,1,619.81,619.81,,Electronics
C1049,2023-10-12 00:00:00,1,25.35,25.35,Germany,Beauty
,2022-10-14 00:00:00,1,306.96,306.96,UK,Sports
C0002,2023-08-06 00:00:00,1,104.67,77.28,Germany,Home & Garden
C1129,2022-02-11 00:00:00,3,50.32,150.96,Germany,Beauty
C1046,2023-04-07 00:00:00,3,719.89,2159.66,,Electronics
C0352,2022-01-18 00:00:00,1,88.76,88.76,Italy,Beauty
C0728,2022-02-28 00:00:00,1,84.31,84.31,Netherlands,Home & Garden
C1294,2022-01-29 00:00:00,1,153.51,153.51,UK,Clothing
C0697,2022-02-17 00:00:00,1,34.82,34.82,Netherlands,Books
C1082,2022-05-21 00:00:00,1,12.47,12.47,France,Beauty
C1552,2022-07-02 00:00:00,1,271.84,271.84,UK,Electronics
C0566,2022-04-21 00:00:00,1,0.0,672.46,UK,Electronics
C0957,2022-01-22 00:00:00,1,46.99,46.99,UK,Beauty
C0531,2023-05-31 00:00:00,1,37.08,37.08,Italy,Beauty
C1448,2022-08-14 00:00:00,1,26.64,26.64,,Books
C0845,2022-08-18 00:00:00,1,235.29,235.29,,Sports
C0311,2023-04-02 00:00:00,1,140.69,140.69,France,Home & Garden
C0802,2022-09-28 00:00:00,1,35.75,35.75,UK,Books
C1349,2022-08-06 00:00:00,1,354.5,354.5,Netherlands,Sports
C0966,2023-03-18 00:00:00,1,280.24,280.24,Germany,Sports
C0690,2022-09-14 00:00:00,1,11.29,11.29,Netherlands,Books
C0445,2023-09-02 00:00:00,1,82.77,82.77,France,Beauty
C0312,2023-01-06 00:00:00,1,37.94,37.94,Germany,Books
C0184,2022-10-01 00:00:00,1,180.1,180.1,UK,Sports
C1028,2023-03-23 00:00:00,1,102.53,102.53,France,Electronics
C0067,2023-10-07 00:00:00,1,192.08,192.08,,Home & Garden
C1477,2023-05-11 00:00:00,1,57.17,57.17,Spain,Clothing
C1525,2022-07-12 00:00:00,1,523.91,523.91,UK,Electronics
C0087,2022-08-19 00:00:00,1,87.63,87.63,,Electronics
C1471,2022-05-31 00:00:00,1,251.55,251.55,UK,Home & Garden
C1167,2022-05-08 00:00:00,1,228.28,228.28,France,Sports
C0170,2023-04-28 00:00:00,1,196.93,196.93,Spain,Clothing
C0125,2023-06-12 00:00:00,1,61.69,61.69,France,Beauty
C0640,2022-07-10 00:00:00,1,758.73,758.73,UK,Electronics
C0818,2023-05-16 00:00:00,1,88.99,88.99,UK,Beauty
C0189,2022-06-19 00:00:00,1,379.26,379.26,France,Sports
C0274,2023-03-11 00:00:00,1,358.3,358.3,UK,Sports
C0003,2022-11-15 00:00:00,2,29.86,59.72,,Beauty
C0789,2022-10-23 00:00:00,4,9.11,36.43,France,Beauty
C1118,2023-08-21 00:00:00,1,77.32,77.32,,Beauty
C0140,2022-11-19 00:00:00,1,542.07,542.07,UK,Electronics
C0037,2023-12-01 00:00:00,1,736.84,736.84,,Electronics
C0921,2023-01-23 00:00:00,1,522.22,522.22,UK,Electronics
C0138,2023-07-18 00:00:00,2,59.87,119.74,UK,Clothing
C1486,2022-06-30 00:00:00,1,399.17,399.17,France,Sports
C0610,2023-01-28 00:00:00,1,149.23,149.23,France,Home & Garden
C0556,2022-07-19 00:00:00,1,32.37,32.37,,Beauty
C1639,2022-06-24 00:00:00,1,220.77,220.77,UK,Sports
C1456,2022-11-24 00:00:00,1,514.1,454.39,Netherlands,Electronics
C1738,2022-04-08 00:00:00,1,86.73,86.73,Italy,Beauty
C0031,2023-02-08 00:00:00,-1,220.59,167.67,Spain,Sports
C0091,2022-08-09 00:00:00,1,125.46,125.46,France,Home & Garden
C1599,2022-08-22 00:00:00,1,13.3,13.3,UK,Books
C0293,2023-07-10 00:00:00,1,397.31,397.31,,Electronics
C0184,2022-08-03 00:00:00,1,22.29,22.29,UK,Books
C0423,2022-11-21 00:00:00,1,169.89,169.89,UK,Home & Garden
C1119,2023-03-18 00:00:00,2,179.37,358.74,,Home & Garden
C0487,2023-04-14 00:00:00,1,281.46,281.46,Spain,Home & Garden
C1393,2023-03-27 00:00:00,1,47.9,47.9,,Books
C0300,2022-09-05 00:00:00,1,474.3,474.3,Germany,Electronics
C0528,2022-07-20 00:00:00,1,34.47,34.47,UK,Books
C1782,2022-12-16 00:00:00,1,37.83,37.83,Netherlands,Clothing
C0420,2023-02-10 00:00:00,1,6.08,6.08,Spain,Books
C0231,2022-04-13 00:00:00,1,268.91,268.91,Spain,Home & Garden
C0538,2022-04-21 00:00:00,2,62.06,124.12,UK,Clothing
C0570,2022-09-14 00:00:00,1,238.58,238.58,Netherlands,Sports
C0297,2022-11-01 00:00:00,1,100.82,100.82,,Clothing
C0764,2023-05-17 00:00:00,1,82.45,58.84,Italy,Beauty
C1207,2023-08-11 00:00:00,1,190.89,190.89,Italy,Home & Garden
C0365,2022-09-29 00:00:00,1,25.2,25.2,Germany,Home & Garden
C1832,2022-07-18 00:00:00,1,61.41,61.41,UK,Clothing
C1726,2022-08-22 00:00:00,3,75.58,226.74,Germany,Beauty
C0145,2023-09-17 00:00:00,1,220.85,220.85,Netherlands,Electronics
C1126,2022-01-31 00:00:00,1,14.74,14.74,France,Beauty
C0033,2022-08-20 00:00:00,1,69.24,69.24,,Beauty
C1798,2022-11-11 00:00:00,1,408.2,408.2,Germany,Electronics
C0968,2022-11-04 00:00:00,5,29.06,145.32,UK,Beauty
C1715,2022-05-20 00:00:00,1,392.54,392.54,UK,Electronics
C1589,2022-08-31 00:00:00,1,448.77,448.77,UK,Electronics
C1148,2022-12-27 00:00:00,1,65.03,65.03,Netherlands,Beauty
C0337,2022-12-02 00:00:00,1,153.03,153.03,Spain,Home & Garden
C0354,2022-03-15 00:00:00,1,114.72,114.72,,Sports
C0966,2022-10-31 00:00:00,1,236.81,192.41,Germany,Sports
C0934,2022-06-09 00:00:00,2,79.54,159.09,,Beauty
C0487,2022-01-13 00:00:00,4,263.08,1052.33,Spain,Home & Garden
C0806,2022-05-27 00:00:00,1,143.91,143.91,Spain,Clothing
C1442,2022-10-12 00:00:00,1,265.7,265.7,UK,Home & Garden
C0118,2022-03-06 00:00:00,2,78.16,156.32,UK,Beauty
C0542,2023-03-31 00:00:00,1,31.17,31.17,UK,Books
C0323,2022-03-27 00:00:00,1,31.45,31.45,UK,Beauty
C1409,2022-04-20 00:00:00,1,68.77,61.17,UK,Beauty
C0183,2022-07-24 00:00:00,1,27.35,27.35,Germany,Books
C0370,2023-08-01 00:00:00,1,241.32,211.14,Netherlands,Home & Garden
C1736,2022-11-14 00:00:00,1,41.07,41.07,France,Electronics
C0600,2022-10-24 00:00:00,1,6.36,6.36,Italy,Books
C0039,2022-03-02 00:00:00,1,245.76,245.76,UK,Home & Garden
C1674,2023-02-13 00:00:00,1,26.41,21.19,Netherlands,Books
C0010,2023-07-08 00:00:00,1,154.6,154.6,France,Clothing
C0750,2023-01-11 00:00:00,1,37.7,37.7,UK,Clothing
C0359,2022-08-04 00:00:00,1,488.84,418.23,,Sports
C1402,2023-01-14 00:00:00,1,93.51,93.51,,Sports
C1790,2022-08-18 00:00:00,1,136.46,136.46,Germany,Clothing
C0686,2022-12-22 00:00:00,1,586.94,586.94,Italy,Sports
C0273,2022-11-22 00:00:00,1,46.89,35.01,UK,Books
C1661,2023-04-05 00:00:00,1,68.23,68.23,UK,Clothing
C0812,2023-06-05 00:00:00,1,284.69,284.69,UK,Electronics
C0225,2022-08-18 00:00:00,1,104.29,104.29,France,Sports
C0306,2023-03-11 00:00:00,1,311.34,311.34,UK,Sports
C1712,2023-01-16 00:00:00,1,197.73,197.73,UK,Clothing
C0541,2022-04-04 00:00:00,1,73.14,73.14,UK,Clothing
C1779,2022-11-08 00:00:00,1,42.85,42.85,,Books
C0446,2022-11-12 00:00:00,1,118.16,118.16,UK,Home & Garden
C1482,2022-08-13 00:00:00,2,185.75,371.5,UK,Clothing
C1350,2023-01-21 00:00:00,1,173.86,173.86,,Electronics
C0624,2022-07-13 00:00:00,1,167.98,167.98,France,Home & Garden
C1567,2022-10-17 00:00:00,2,839.5,1679.01,Netherlands,Electronics
C0262,2022-04-12 00:00:00,1,25.89,25.89,Netherlands,Books
C1755,2022-05-11 00:00:00,1,16.41,16.41,UK,Books
C0667,2022-12-22 00:00:00,1,123.75,123.75,Spain,Home & Garden
C0216,2022-12-21 00:00:00,1,87.93,87.93,Germany,Beauty
C0700,2023-12-07 00:00:00,1,758.24,758.24,France,Electronics
C1831,2022-06-19 00:00:00,2,138.25,210.47,,Clothing
C0695,2023-05-28 00:00:00,1,76.12,76.12,Italy,Home & Garden
C1769,2022-06-05 00:00:00,1,184.88,136.61,Germany,Clothing
C0581,2023-02-10 00:00:00,1,134.06,134.06,UK,Clothing
C0811,2022-11-03 00:00:00,1,487.88,487.88,Italy,Electronics
C0744,2022-09-11 00:00:00,1,14.66,14.66,UK,Clothing
C0655,2023-04-16 00:00:00,5,151.76,758.79,UK,Home & Garden
C1107,2022-10-03 00:00:00,1,28.32,28.32,Germany,Beauty
C0136,2022-03-04 00:00:00,1,162.51,162.51,Italy,Clothing
C0019,2023-01-19 00:00:00,1,21.31,21.31,France,Clothing
C1541,2022-01-19 00:00:00,1,345.08,345.08,UK,Sports
C0145,2023-02-28 00:00:00,1,244.19,244.19,Netherlands,Sports
C1658,2022-10-27 00:00:00,1,388.41,388.41,Germany,Electronics
C1079,2022-06-17 00:00:00,1,26.34,26.34,,Clothing
C0558,2022-10-28 00:00:00,3,66.05,198.14,,Beauty
C1160,2022-12-20 00:00:00,1,297.63,297.63,UK,Electronics
C1293,2022-12-17 00:00:00,1,785.03,785.03,Spain,Electronics
C0831,2022-01-11 00:00:00,1,82.03,82.03,,Beauty
C1717,2022-02-15 00:00:00,3,16.5,49.5,,Beauty
C1754,2022-10-29 00:00:00,1,9.17,9.17,Spain,Books
C0947,2022-05-07 00:00:00,1,26.49,26.49,,Books
C1407,2022-08-21 00:00:00,1,49.91,49.91,UK,Books
C0848,2022-12-14 00:00:00,1,63.95,63.95,France,Home & Garden
C0420,2023-01-16 00:00:00,1,104.63,104.63,Spain,Clothing
C0691,2022-01-27 00:00:00,1,57.49,57.49,Italy,Beauty
C0763,2022-01-24 00:00:00,1,56.83,56.83,Italy,Beauty
C1778,2022-09-14 00:00:00,1,74.3,74.3,France,Electronics
C1269,2022-11-03 00:00:00,1,77.89,77.89,France,Beauty
C0642,2022-02-07 00:00:00,1,380.83,380.83,Germany,Electronics
C1250,2023-08-21 00:00:00,1,197.35,197.35,UK,Electronics
C0109,2022-06-07 00:00:00,1,92.36,92.36,,Home & Garden
C0908,2023-02-16 00:00:00,1,882.68,882.68,,Electronics
C1721,2023-10-19 00:00:00,1,105.14,105.14,,Clothing
C1567,2023-03-04 00:00:00,1,94.27,94.27,Netherlands,Home & Garden
C1791,2023-03-21 00:00:00,1,524.54,524.54,,Electronics
C1574,2022-07-07 00:00:00,1,95.98,95.98,France,Home & Garden
C0840,2022-04-21 00:00:00,1,7.65,7.65,Germany,Books
C1213,2022-01-15 00:00:00,1,69.83,69.83,Netherlands,Home & Garden
C0892,2022-10-19 00:00:00,1,110.81,110.81,France,Sports
C0445,2023-01-28 00:00:00,1,525.69,525.69,France,Sports
C0777,2022-04-23 00:00:00,1,136.94,136.94,Spain,Clothing
C0471,2022-10-08 00:00:00,1,89.82,89.82,Spain,Beauty
C1468,2023-04-24 00:00:00,1,393.27,393.27,,Sports
C0737,2022-12-13 00:00:00,1,88.81,88.81,Spain,Beauty
C1416,2023-05-05 00:00:00,2,716.43,1432.85,,Electronics
C0938,2022-09-21 00:00:00,1,425.93,425.93,UK,Electronics
C0331,2022-09-01 00:00:00,1,219.19,219.19,Italy,Home & Garden
C1320,2023-01-30 00:00:00,1,524.9,524.9,UK,Sports
C0880,2022-07-30 00:00:00,1,109.28,109.28,UK,Electronics
C0541,2022-10-03 00:00:00,1,13.69,13.69,UK,Home & Garden
C0341,2022-09-14 00:00:00,1,183.59,183.59,,Electronics
C1355,2023-04-09 00:00:00,1,152.51,152.51,Italy,Clothing
C0823,2022-11-24 00:00:00,1,135.48,135.48,Germany,Home & Garden
C0100,2022-08-02 00:00:00,1,114.01,114.01,,Home & Garden
C0423,2023-10-04 00:00:00,1,13.59,13.59,UK,Beauty
C1247,2023-11-20 00:00:00,1,390.22,390.22,UK,Electronics
C0136,2022-09-20 00:00:00,1,79.81,79.81,Italy,Clothing
C1204,2022-05-29 00:00:00,1,630.07,630.07,,Electronics
C0929,2022-03-16 00:00:00,1,15.45,15.45,France,Beauty
C0837,2023-03-28 00:00:00,1,193.15,135.64,,Clothing
C0169,2022-09-01 00:00:00,1,106.15,106.15,Germany,Clothing
C0441,2022-12-02 00:00:00,1,318.39,318.39,Spain,Electronics
C1551,2022-07-28 00:00:00,1,80.02,80.02,UK,Beauty
C0931,2022-04-29 00:00:00,1,81.95,81.95,Italy,Clothing
C0487,2023-07-28 00:00:00,1,85.98,85.98,Spain,Beauty
C1787,2023-12-05 00:00:00,1,82.44,82.44,UK,Beauty
C0621,2022-08-28 00:00:00,1,72.84,72.84,Italy,Clothing
C0885,2022-11-04 00:00:00,4,32.28,129.12,UK,Books
C1326,2022-11-23 00:00:00,2,124.48,248.97,France,Clothing
C1480,2023-05-14 00:00:00,2,457.28,914.56,Netherlands,Electronics
C0779,2022-03-15 00:00:00,1,93.49,93.49,UK,Sports
C0961,2022-08-03 00:00:00,1,207.65,207.65,,Sports
C0346,2022-01-19 00:00:00,1,17.77,17.77,Netherlands,Beauty
C0535,2022-09-19 00:00:00,2,190.08,380.16,,Home & Garden
C0535,2022-10-05 00:00:00,1,24.36,24.36,,Books
C0544,2022-08-05 00:00:00,4,32.34,129.35,,Books
C0603,2022-12-26 00:00:00,3,19.23,57.68,Spain,Beauty
C0045,2022-11-22 00:00:00,1,24.45,24.45,UK,Clothing
C0256,2023-12-03 00:00:00,1,19.75,19.75,,Books
C0287,2022-12-19 00:00:00,1,299.33,299.33,Italy,Home & Garden
C1265,2022-11-24 00:00:00,4,42.86,171.45,UK,Beauty
C0040,2022-12-03 00:00:00,1,334.94,334.94,Spain,Sports
C0856,2022-07-28 00:00:00,1,54.16,54.16,UK,Beauty
C0037,2023-03-11 00:00:00,1,99.05,99.05,,Clothing
C1748,2022-10-26 00:00:00,1,107.52,107.52,,Sports
C0725,2023-01-12 00:00:00,1,120.38,120.38,UK,Clothing
C0661,2022-09-18 00:00:00,1,796.28,796.28,UK,Electronics
C0742,2022-02-04 00:00:00,1,713.31,713.31,UK,Electronics
C1482,2022-11-26 00:00:00,1,63.7,63.7,UK,Clothing
C1082,2022-02-23 00:00:00,1,283.15,283.15,France,Home & Garden
C1426,2023-06-15 00:00:00,1,270.26,270.26,UK,Sports
C1208,2022-12-19 00:00:00,4,499.04,1996.17,France,Sports
C1245,2022-09-05 00:00:00,1,249.1,249.1,France,Sports
C1250,2022-11-17 00:00:00,1,286.85,286.85,UK,Home & Garden
C0424,2022-08-06 00:00:00,1,43.37,43.37,UK,Beauty
C0287,2023-02-20 00:00:00,2,99.62,199.23,Italy,Clothing
C0109,2022-04-06 00:00:00,1,331.34,331.34,,Sports
C0368,2022-08-11 00:00:00,1,36.22,36.22,France,Beauty
C1646,2023-05-05 00:00:00,1,308.12,308.12,UK,Sports
C0489,2022-06-08 00:00:00,1,39.36,39.36,,Books
C0919,2022-07-14 00:00:00,1,264.79,264.79,,Home & Garden
C0287,2022-11-08 00:00:00,1,564.85,564.85,Italy,Sports
C0224,2022-12-27 00:00:00,2,50.58,101.16,UK,Clothing
C0836,2022-12-29 00:00:00,1,13.05,13.05,Spain,Books
C0077,2023-04-05 00:00:00,1,168.66,168.66,Germany,Clothing
